CLASS;FREQ
666.215-732.215;0.02
732.215-798.215;0.26
798.215-864.215;0.0
864.215-930.215;1.12
930.215-996.215;0.0
996.215-1062.215;3.8
1062.215-1128.215;7.6
1128.215-1194.215;0.0
1194.215-1260.215;12.12
1260.215-1326.215;0.0
1326.215-1392.215;17.3
1392.215-1458.215;17.0
1458.215-1524.215;1.32
1524.215-1590.215;15.92
1590.215-1656.215;0.0
1656.215-1722.215;11.1
1722.215-1788.215;0.0
1788.215-1854.215;6.82
1854.215-1920.215;3.54
1920.215-1986.215;0.0
1986.215-2052.215;1.38
2052.215-2118.215;0.0
2118.215-2184.215;0.56
2184.215-2250.215;0.1
2250.215-2316.215;0.02
2316.215-2382.215;0.02
