ID;CLASS;TIMES_EXEC;CYCLES;CYCLES_CONSUMED;ENERGY;ENERGY_CONSUMED
I0;48;5000;16;80000;     24.640; 123200.000
N1;48;5000;6;30000;      6.280;  31400.000
N2;48;5000;6;30000;      9.420;  47100.000
N3;48;5000;13;65000;     14.715;  73575.000
N4;49;5000;0;0;      0.000;      0.000
N5;48;0;4;0;      4.560;      0.000
N6;48;0;0;0;      0.000;      0.000
N7;48;5000;33;165000;     60.062; 300310.000
N8;48;5000;45;225000;     85.860; 429300.000
N9;48;5000;0;0;      0.000;      0.000
N10;49;0;0;0;      0.000;      0.000
N11;48;0;36;0;     67.582;      0.000
N12;48;0;0;0;      0.000;      0.000
N13;48;0;39;0;     78.074;      0.000
N14;48;0;0;0;      0.000;      0.000
N15;48;0;0;0;      0.000;      0.000
N16;48;5000;6;30000;      8.994;  44970.000
N17;48;5000;9;45000;     18.791;  93957.500
N18;48;5000;9;45000;     18.791;  93957.500
N19;49;5000;0;0;      0.000;      0.000
N20;49;5000;0;0;      0.000;      0.000
N21;48;0;5;0;     11.686;      0.000
N22;48;0;0;0;      0.000;      0.000
N23;48;5000;5;25000;      9.237;  46185.000
N24;48;5000;0;0;      0.000;      0.000
N25;48;5000;11;55000;     16.877;  84385.000
N26;49;5000;0;0;      0.000;      0.000
N27;48;0;7;0;     10.611;      0.000
N28;48;0;0;0;      0.000;      0.000
N29;48;5000;0;0;      4.510;  22550.000
N30;50;105000;12;1260000;     11.880;1247400.000
N31;49;100000;0;0;      0.000;      0.000
N32;48;34858;26;906308;     54.784;1909660.672
N33;48;355;3;1065;      3.246;   1152.330
N34;48;355;0;0;      0.000;      0.000
N35;48;34858;0;0;      0.000;      0.000
N36;48;65142;0;0;      0.000;      0.000
N37;48;65142;0;0;      0.000;      0.000
N38;48;100000;0;0;      0.000;      0.000
N39;48;5000;0;0;      0.000;      0.000
N40;48;5000;11;55000;     16.877;  84385.000
N41;48;34858;10;348580;     18.791; 655034.107
N42;49;34858;0;0;      0.000;      0.000
N43;49;34858;0;0;      0.000;      0.000
N44;48;0;5;0;     11.686;      0.000
N45;48;0;0;0;      0.000;      0.000
N46;48;34858;5;174290;      9.237; 321983.346
N47;48;34858;0;0;      0.000;      0.000
N48;48;34858;11;383438;     16.877; 588298.466
F49;48;5000;0;0;      0.000;      0.000
